"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2023","23.038","22.983","23.488","22.845","","0.06%"
"10/17/2023","23.024","22.780","23.180","22.535","48.47K","1.14%"
"10/16/2023","22.765","22.910","22.910","22.635","36.55K","-0.57%"
"10/13/2023","22.895","21.985","22.990","21.960","76.26K","4.26%"
"10/12/2023","21.959","22.205","22.390","21.880","51.30K","-0.79%"
"10/11/2023","22.133","22.015","22.275","21.955","45.00K","0.82%"
"10/10/2023","21.953","22.030","22.110","21.775","43.79K","0.13%"
"10/09/2023","21.924","21.940","22.180","21.705","58.31K","0.93%"
"10/06/2023","21.723","21.120","21.780","20.940","84.53K","3.35%"
"10/05/2023","21.019","21.180","21.455","20.855","57.84K","-0.60%"
"10/04/2023","21.146","21.375","21.570","20.850","68.61K","-1.08%"
"10/03/2023","21.377","21.310","21.595","20.870","82.34K","-0.21%"
"10/02/2023","21.421","22.410","22.410","21.215","98.27K","-4.58%"
"09/29/2023","22.450","22.840","23.805","22.325","112.99K","-1.28%"
"09/28/2023","22.741","22.800","22.955","22.610","67.24K","0.07%"
"09/27/2023","22.724","23.100","23.120","22.640","66.47K","-2.03%"
"09/26/2023","23.196","23.390","23.390","23.100","52.63K","-0.81%"
"09/25/2023","23.385","23.810","23.925","23.290","55.99K","-1.93%"
"09/22/2023","23.844","23.675","24.050","23.665","53.72K","0.66%"
"09/21/2023","23.687","23.520","23.745","23.060","73.84K","-0.63%"
"09/20/2023","23.836","23.480","23.880","23.325","57.73K","1.62%"
"09/19/2023","23.456","23.530","23.705","23.365","40.41K","-0.18%"
"09/18/2023","23.498","23.320","23.540","23.235","46.57K","0.48%"
"09/15/2023","23.386","22.930","23.585","22.910","67.11K","1.70%"
"09/14/2023","22.994","23.140","23.265","22.555","84.60K","-0.81%"
"09/13/2023","23.181","23.375","23.390","23.025","49.96K","-0.94%"
"09/12/2023","23.402","23.390","23.480","23.110","40.98K","0.08%"
"09/11/2023","23.383","23.195","23.515","23.180","43.21K","0.90%"
"09/08/2023","23.174","23.260","23.455","23.130","52.75K","-0.28%"
"09/07/2023","23.240","23.500","23.500","23.130","50.65K","-1.12%"
"09/06/2023","23.503","23.880","23.935","23.315","67.14K","-1.55%"
"09/05/2023","23.873","24.565","24.655","23.815","91.77K","-1.78%"
"09/04/2023","24.305","24.527","24.650","24.302","","-0.93%"
"09/03/2023","24.532","24.540","24.565","24.483","","-0.12%"
"09/01/2023","24.562","24.820","25.220","24.520","61.53K","-1.01%"
"08/31/2023","24.812","25.020","25.060","24.745","47.18K","-1.16%"
"08/30/2023","25.104","25.135","25.425","24.920","67.03K","-0.14%"
"08/29/2023","25.139","24.620","25.195","24.555","51.64K","2.17%"
"08/28/2023","24.605","24.620","24.750","24.450","32.66K","0.09%"
"08/25/2023","24.583","24.530","24.785","24.310","32.75K","0.03%"
"08/24/2023","24.575","24.700","24.740","24.450","39.41K","-0.55%"
"08/23/2023","24.710","23.795","24.750","23.790","33.68K","3.99%"
"08/22/2023","23.763","23.710","23.830","23.590","18.49K","0.44%"
"08/21/2023","23.659","23.130","23.700","23.040","18.19K","4.07%"
"08/18/2023","22.733","22.750","22.920","22.670","54.78K","0.08%"
"08/17/2023","22.715","22.485","23.070","22.390","66.43K","0.80%"
"08/16/2023","22.535","22.590","22.855","22.445","46.54K","-0.53%"
"08/15/2023","22.656","22.650","22.770","22.265","61.48K","-0.23%"
"08/14/2023","22.708","22.740","22.820","22.410","53.77K","-0.15%"
"08/11/2023","22.743","22.760","22.910","22.610","52.69K","-0.34%"
"08/10/2023","22.821","22.730","23.060","22.665","75.61K","0.40%"
"08/09/2023","22.731","22.820","22.990","22.680","69.55K","-0.33%"
"08/08/2023","22.807","23.200","23.255","22.720","82.66K","-1.83%"
"08/07/2023","23.232","23.720","23.775","23.145","62.32K","-2.04%"
"08/04/2023","23.716","23.710","23.895","23.275","58.39K","0.08%"
"08/03/2023","23.697","23.835","23.940","23.410","63.14K","-0.73%"
"08/02/2023","23.872","24.480","24.630","23.760","73.95K","-1.87%"
"08/01/2023","24.326","24.900","24.905","24.255","52.95K","-2.59%"
"07/31/2023","24.972","24.475","24.985","24.320","45.40K","1.95%"
"07/28/2023","24.495","24.265","24.545","24.240","38.73K","1.04%"
"07/27/2023","24.243","24.925","25.160","24.150","0.10K","-2.41%"
"07/26/2023","24.841","24.605","25.000","24.605","0.07K","0.59%"
"07/25/2023","24.695","24.595","24.725","24.550","0.06K","1.00%"
"07/24/2023","24.451","24.675","24.715","24.365","0.07K","-1.63%"
"07/21/2023","24.855","24.950","25.110","24.765","","-0.55%"
"07/20/2023","24.992","25.310","25.473","24.898","","-1.56%"
"07/19/2023","25.387","25.275","25.460","25.145","","0.52%"
"07/18/2023","25.256","25.060","25.405","24.975","","0.95%"
"07/17/2023","25.018","25.155","25.155","24.815","","-0.70%"
"07/14/2023","25.194","25.105","25.255","24.910","","0.98%"
"07/13/2023","24.949","24.330","25.110","24.310","","2.63%"
"07/12/2023","24.310","23.325","24.375","23.310","","4.42%"
"07/11/2023","23.281","23.335","23.595","23.220","","-0.27%"
"07/10/2023","23.345","23.340","23.370","22.940","","0.24%"
"07/07/2023","23.289","22.905","23.365","22.800","","1.74%"
"07/06/2023","22.890","23.355","23.470","22.720","","-2.19%"
"07/05/2023","23.402","23.120","23.535","22.970","","1.01%"
"07/04/2023","23.168","23.102","23.267","23.073","","0.24%"
"07/03/2023","23.112","22.995","23.290","22.910","","1.32%"
"06/30/2023","22.810","22.530","22.765","22.345","","0.97%"
"06/29/2023","22.591","22.745","22.905","22.300","6.99K","-1.21%"
"06/28/2023","22.868","22.865","22.865","22.865","0.04K","-0.31%"
"06/27/2023","22.939","22.835","23.150","22.785","0.00K","0.59%"
"06/26/2023","22.805","22.845","22.850","22.845","0.01K","2.14%"
"06/23/2023","22.328","22.290","22.710","22.140","53.21K","-0.48%"
"06/22/2023","22.436","22.690","22.750","22.200","0.00K","-1.48%"
"06/21/2023","22.774","23.210","23.230","22.515","78.46K","-1.81%"
"06/20/2023","23.193","24.245","24.260","23.100","110.46K","-3.61%"
"06/19/2023","24.062","24.198","24.262","23.962","","-0.56%"
"06/18/2023","24.198","24.235","24.258","24.172","","0.51%"
"06/16/2023","24.076","23.965","24.290","23.910","62.35K","0.77%"
"06/15/2023","23.891","24.000","24.010","23.270","0.00K","-0.89%"
"06/14/2023","24.105","23.730","24.175","23.715","61.20K","1.19%"
"06/13/2023","23.822","24.145","24.520","23.665","73.64K","-0.99%"
"06/12/2023","24.059","24.375","24.395","23.955","58.04K","-1.44%"
"06/09/2023","24.410","24.360","24.620","24.280","63.77K","0.25%"
"06/08/2023","24.348","23.525","24.460","23.510","84.07K","3.48%"
"06/07/2023","23.529","23.675","24.165","23.480","73.33K","-0.60%"
"06/06/2023","23.670","23.665","23.870","23.410","44.28K","0.15%"
"06/05/2023","23.635","23.690","23.785","23.320","47.49K","-0.47%"
"06/02/2023","23.747","23.980","24.120","23.660","62.06K","-1.00%"
"06/01/2023","23.987","23.625","24.030","23.355","76.91K","1.70%"
"05/31/2023","23.587","23.310","23.735","23.160","76.73K","1.50%"
"05/30/2023","23.239","23.425","23.510","23.030","79.06K","-0.12%"
"05/29/2023","23.267","23.410","23.503","23.258","","-0.62%"
"05/28/2023","23.413","23.430","23.455","23.395","","0.71%"
"05/26/2023","23.248","22.710","23.340","22.705","0.28K","1.95%"
"05/25/2023","22.803","23.070","23.125","22.705","0.36K","-1.42%"
"05/24/2023","23.132","23.480","23.505","23.050","0.26K","-1.60%"
"05/23/2023","23.509","23.670","23.670","23.140","0.38K","-0.99%"
"05/22/2023","23.743","23.880","23.920","23.660","0.28K","-0.86%"
"05/19/2023","23.948","23.560","24.010","23.555","0.15K","1.81%"
"05/18/2023","23.523","23.840","23.840","23.380","0.35K","-1.12%"
"05/17/2023","23.789","23.830","23.940","23.650","0.18K","0.03%"
"05/16/2023","23.783","24.115","24.115","23.710","0.18K","-1.62%"
"05/15/2023","24.175","24.030","24.270","23.945","0.17K","0.09%"
"05/12/2023","24.154","24.370","24.405","23.910","","-1.11%"
"05/11/2023","24.424","25.545","25.700","24.325","","-4.81%"
"05/10/2023","25.658","25.840","26.200","25.455","","-0.93%"
"05/09/2023","25.898","25.790","25.930","25.570","45.73K","0.25%"
"05/08/2023","25.834","25.945","25.990","25.760","","-0.37%"
"05/05/2023","25.930","26.330","26.435","25.410","","-1.62%"
"05/04/2023","26.358","25.968","26.363","25.703","","2.64%"
"05/03/2023","25.681","25.650","25.910","25.355","","0.24%"
"05/02/2023","25.619","25.245","25.765","24.820","","1.54%"
"05/01/2023","25.230","25.460","26.210","25.140","","0.02%"
"04/28/2023","25.226","25.205","25.350","24.980","","0.07%"
"04/27/2023","25.209","25.170","25.410","24.745","","0.55%"
"04/26/2023","25.071","25.265","25.515","25.010","","-0.07%"
"04/25/2023","25.088","25.480","25.655","24.735","","-1.71%"
"04/24/2023","25.524","25.375","25.535","25.055","","0.97%"
"04/21/2023","25.280","25.565","25.690","25.210","19.88K","-1.23%"
"04/20/2023","25.595","25.580","25.805","25.380","21.43K","0.02%"
"04/19/2023","25.590","25.495","25.675","24.925","18.98K","0.42%"
"04/18/2023","25.484","25.350","25.645","25.255","14.04K","1.58%"
"04/17/2023","25.088","25.440","25.710","24.920","64.63K","-1.46%"
