"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,1.16,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,1.16066666666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,1.16842424233333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,1.16860606066667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,1.17,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,1.173968254,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,1.17,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,1.17794486233333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,0.967603098666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,0.892063492,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,0.667453102333333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,0.763468254,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,0.7985,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,0.833528138666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,0.813817460333333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,0.819666666666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,0.864958410333333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,0.823173844,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,1.21421212133333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,1.34308270666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,1.565604162,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,1.64634920633333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,1.83788486366667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,2.11257271966667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,1.99799478066667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.859267777,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.83756966766667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,1.86640983333333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,1.66068583733333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,0.377720760333333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,0.263354942,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,0.239247015666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,0.187860658666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,0.183437858666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,0.212405722333333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,0.253356039666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,0.651304655666667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,1.79195991366667,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,3.39608374233333,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,4.3867315,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,4.742762599,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,4.742762599,,
"CAN","Canada","IRS","Short-term interest rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,4.742762599,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,5.53043939393939,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,5.16568759018759,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,5.29484041955425,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,4.86214931918083,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,4.40497154275582,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,4.00838566950645,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,3.62936363636364,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,3.46212121212121,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,3.26327056277056,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,3.49349206349206,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,3.56265512265512,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,3.9624126984127,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,4.03063371712027,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,3.79870215112965,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,3.73540172727868,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,3.80890266986207,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,3.30266395011055,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,2.78558083890699,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,2.68662852853899,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,2.77217650702515,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,2.69830578227933,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,2.67872014397782,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,2.67430929575881,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,3.03014427298025,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,3.04056331492043,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,2.90527775866045,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,2.29023768582785,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,1.99337150263267,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,1.86808979639744,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,0.423039275392504,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,0.231875901875902,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,0.21984126984127,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,0.214108695652174,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,0.283261904761905,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,1.37937229437229,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,4.01385714285714,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,6.51692788129744,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,8.64087878787879,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,10.5338975468975,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,11.3010442773601,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,11.2628547273982,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,11.2628547273982,,
"CHL","Chile","IRS","Short-term interest rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,11.2628547273982,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,4.16333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,3.81666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,3.82,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,3.45333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,3.36333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,3.29,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,2.88333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,2.93,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,2.99,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,3.1,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,3.27,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,3.21333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,3.58,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,3.97,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,4.41,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,5.39666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,6.39333333333334,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,6.84333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,7.09333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,7.17666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,7.52333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,7.75333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,7.90333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,8.13666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,8.14666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,8.18,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,7.95,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,7.45333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,6.97666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.51333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,4.53666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,4.28666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,4.13,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,4.13666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,4.77666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,5.46,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,6.29666666666667,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,7.55333333333334,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,8.94333333333333,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,10.19,,
"MEX","Mexico","IRS","Short-term interest rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,11.2533333333333,,
